Miami,Hialeah,Miami Gardens,Miami Beach,Homestead,Kendall,Fountainbleau,North Miami,Kendale Lakes,Tamiami,The Hammocks,Doral,Coral Gables,Country Club,Cutler Bay,North Miami Beach,Kendall West,Aventura,Golden Glades,Richmond West,Miami Lakes,University Park,The Crossings,Hialeah Gardens,Ives Estates,Sunny Isles Beach,Ojus,Glenvar Heights,Sunset,Three Lakes,Key Biscayne,South Miami,Country Walk,North Bay Village,Surfside,Bay Harbor Islands,Bal Harbour,date
2200.0,,1525.0,2400.0,1300.0,1685.0,1600.0,1500.0,1500.0,2000.0,1825.0,2150.0,2500.0,1400.0,1650.0,1500.0,1500.0,2200.0,,1900.0,,,1625.0,,,,,1725.0,,1825.0,4400.0,,,1790.0,3000.0,1725.0,,2014-01
2200.0,,1500.0,2400.0,1300.0,1675.0,1550.0,1500.0,1582.5,2000.0,1842.5,2200.0,2500.0,1400.0,1700.0,1500.0,1550.0,2200.0,,1850.0,,,1600.0,,,,,1650.0,,1800.0,4500.0,,,1900.0,3000.0,1700.0,,2014-02
2200.0,,1500.0,2400.0,1300.0,1650.0,1550.0,1480.0,1575.0,1937.5,1800.0,2200.0,2600.0,1387.5,1700.0,1450.0,1550.0,2200.0,,1850.0,,,1600.0,,,,,1600.0,,1850.0,4500.0,,,1900.0,2850.0,1700.0,,2014-03
2200.0,,1500.0,2395.0,1300.0,1650.0,1500.0,1495.0,1550.0,2000.0,1800.0,2150.0,2600.0,1377.5,1677.5,1500.0,1500.0,2200.0,,1875.0,,,1600.0,,,,,1600.0,,1850.0,4500.0,,,1889.0,2750.0,1685.0,,2014-04
2225.0,,1500.0,2400.0,1312.5,1650.0,1450.0,1500.0,1450.0,1950.0,1800.0,2100.0,2700.0,1350.0,1637.5,1600.0,1400.0,2300.0,,1925.0,,,1600.0,,,,,1600.0,,1850.0,4500.0,,,1987.5,2675.0,1750.0,,2014-05
2200.0,,1500.0,2390.0,1325.0,1700.0,1450.0,1495.0,1500.0,1950.0,1750.0,2100.0,2650.0,1350.0,1600.0,1550.0,1400.0,2300.0,,1900.0,,,1600.0,,,,,1662.5,,1850.0,4500.0,,,2100.0,2800.0,1750.0,,2014-06
2300.0,,1550.0,2400.0,1350.0,1700.0,1500.0,1450.0,1500.0,1975.0,1800.0,2150.0,2600.0,1350.0,1650.0,1650.0,1450.0,2350.0,,1895.0,,,1650.0,,,,,1650.0,,1850.0,4500.0,,,2100.0,2750.0,1797.5,,2014-07
2217.5,,1600.0,2400.0,1350.0,1700.0,1500.0,1450.0,1500.0,2000.0,1850.0,2050.0,2675.0,1350.0,1600.0,1600.0,1450.0,2350.0,,1950.0,,,1655.0,,,,,1782.5,,1850.0,4500.0,,,2196.0,2925.0,1772.5,,2014-08
2200.0,,1600.0,2300.0,1350.0,1750.0,1550.0,1500.0,1500.0,2000.0,1850.0,2160.0,2750.0,1400.0,1650.0,1550.0,1462.5,2300.0,,1950.0,,,1800.0,,,,,1695.0,,1850.0,4500.0,,,2100.0,2650.0,1825.0,,2014-09
2200.0,,1575.0,2350.0,1350.0,1800.0,1600.0,1450.0,1475.0,2100.0,1850.0,2200.0,2900.0,1400.0,1600.0,1600.0,1500.0,2345.0,,1950.0,,,1700.0,,,,,1672.5,,1800.0,5000.0,,,2200.0,2900.0,1850.0,,2014-10
