Decade,Year,Month,Source,Averaging Period,Value Type,Sea Level (feet)
2020s,2022,1,NOAA Historical Data,Monthly,MSL,-0.305
2020s,2022,2,NOAA Historical Data,Monthly,MSL,-0.495
2020s,2022,3,NOAA Historical Data,Monthly,MSL,-0.587
2020s,2022,4,NOAA Historical Data,Monthly,MSL,-0.538
2020s,2022,5,NOAA Historical Data,Monthly,MSL,-0.299
2020s,2022,6,NOAA Historical Data,Monthly,MSL,-0.404
2020s,2022,7,NOAA Historical Data,Monthly,MSL,-0.62
2020s,2022,8,NOAA Historical Data,Monthly,MSL,-0.39
2020s,2022,9,NOAA Historical Data,Monthly,MSL,0.062
2020s,2022,10,NOAA Historical Data,Monthly,MSL,0.338
2020s,2022,11,NOAA Historical Data,Monthly,MSL,0.292
2020s,2021,1,NOAA Historical Data,Monthly,MSL,-0.81
2020s,2021,2,NOAA Historical Data,Monthly,MSL,-0.682
2020s,2021,3,NOAA Historical Data,Monthly,MSL,-0.558
2020s,2021,4,NOAA Historical Data,Monthly,MSL,-0.568
2020s,2021,5,NOAA Historical Data,Monthly,MSL,-0.623
2020s,2021,6,NOAA Historical Data,Monthly,MSL,-0.787
2020s,2021,7,NOAA Historical Data,Monthly,MSL,-0.65
2020s,2021,8,NOAA Historical Data,Monthly,MSL,-0.41
2020s,2021,9,NOAA Historical Data,Monthly,MSL,-0.289
2020s,2021,10,NOAA Historical Data,Monthly,MSL,-0.102
2020s,2021,11,NOAA Historical Data,Monthly,MSL,0.128
2020s,2021,12,NOAA Historical Data,Monthly,MSL,-0.354
2020s,2020,1,NOAA Historical Data,Monthly,MSL,-0.623
2020s,2020,2,NOAA Historical Data,Monthly,MSL,-0.751
2020s,2020,3,NOAA Historical Data,Monthly,MSL,-0.741
2020s,2020,4,NOAA Historical Data,Monthly,MSL,-0.604
2020s,2020,5,NOAA Historical Data,Monthly,MSL,-0.476
2020s,2020,6,NOAA Historical Data,Monthly,MSL,-0.384
2020s,2020,7,NOAA Historical Data,Monthly,MSL,-0.548
2020s,2020,8,NOAA Historical Data,Monthly,MSL,-0.354
2020s,2020,9,NOAA Historical Data,Monthly,MSL,0.131
2020s,2020,10,NOAA Historical Data,Monthly,MSL,0.223
2020s,2020,11,NOAA Historical Data,Monthly,MSL,0.095
2020s,2020,12,NOAA Historical Data,Monthly,MSL,-0.617
2010s,2019,1,NOAA Historical Data,Monthly,MSL,-0.643
2010s,2019,2,NOAA Historical Data,Monthly,MSL,-0.62
2010s,2019,3,NOAA Historical Data,Monthly,MSL,-0.285
2010s,2019,4,NOAA Historical Data,Monthly,MSL,-0.538
2010s,2019,5,NOAA Historical Data,Monthly,MSL,-0.61
2010s,2019,6,NOAA Historical Data,Monthly,MSL,-0.587
2010s,2019,7,NOAA Historical Data,Monthly,MSL,-0.476
2010s,2019,8,NOAA Historical Data,Monthly,MSL,-0.203
2010s,2019,9,NOAA Historical Data,Monthly,MSL,0.2
2010s,2019,10,NOAA Historical Data,Monthly,MSL,0.312
2010s,2019,11,NOAA Historical Data,Monthly,MSL,0.213
