fips,cofips,tract,county,state,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
12086004607,12086,Census Tract 46.07,Miami-Dade County,Florida,2000,observed,,,,,,
12086000410,12086,Census Tract 4.10,Miami-Dade County,Florida,2000,observed,1.0,0.38,1.0,0.38,1.0,0.38
12086014600,12086,Census Tract 146,Miami-Dade County,Florida,2000,observed,5.0,0.82,5.0,0.82,5.0,0.82
12086014200,12086,Census Tract 142,Miami-Dade County,Florida,2000,observed,,,,,,
12086006713,12086,Census Tract 67.13,Miami-Dade County,Florida,2000,observed,10.0,1.61,9.0,1.45,8.0,1.29
12086006402,12086,Census Tract 64.02,Miami-Dade County,Florida,2000,observed,6.0,0.73,6.0,0.73,6.0,0.73
12086009044,12086,Census Tract 90.44,Miami-Dade County,Florida,2000,observed,,,,,,
12086004000,12086,Census Tract 40,Miami-Dade County,Florida,2000,observed,8.0,1.08,8.0,1.08,8.0,1.08
12086007103,12086,Census Tract 71.03,Miami-Dade County,Florida,2000,observed,6.0,1.62,6.0,1.62,6.0,1.62
12086001002,12086,Census Tract 10.02,Miami-Dade County,Florida,2000,observed,32.0,4.79,32.0,4.79,31.0,4.64
12086010300,12086,Census Tract 103,Miami-Dade County,Florida,2000,observed,4.0,1.11,4.0,1.11,4.0,1.11
12086006504,12086,Census Tract 65.04,Miami-Dade County,Florida,2000,observed,1.0,0.28,1.0,0.28,1.0,0.28
12086008410,12086,Census Tract 84.10,Miami-Dade County,Florida,2000,observed,2.0,0.57,2.0,0.57,2.0,0.57
12086008102,12086,Census Tract 81.02,Miami-Dade County,Florida,2000,observed,1.0,0.91,1.0,0.91,1.0,0.91
12086000113,12086,Census Tract 1.13,Miami-Dade County,Florida,2000,observed,24.0,3.05,23.0,2.92,20.0,2.54
12086015500,12086,Census Tract 155,Miami-Dade County,Florida,2000,observed,3.0,1.51,3.0,1.51,3.0,1.51
12086011009,12086,Census Tract 110.09,Miami-Dade County,Florida,2000,observed,,,,,,
12086002501,12086,Census Tract 25.01,Miami-Dade County,Florida,2000,observed,9.0,1.24,9.0,1.24,9.0,1.24
12086016800,12086,Census Tract 168,Miami-Dade County,Florida,2000,observed,1.0,0.15,1.0,0.15,1.0,0.15
12086011201,12086,Census Tract 112.01,Miami-Dade County,Florida,2000,observed,10.0,3.28,10.0,3.28,10.0,3.28
12086008306,12086,Census Tract 83.06,Miami-Dade County,Florida,2000,observed,6.0,1.41,6.0,1.41,6.0,1.41
12086002004,12086,Census Tract 20.04,Miami-Dade County,Florida,2000,observed,17.0,2.15,17.0,2.15,17.0,2.15
12086007606,12086,Census Tract 76.06,Miami-Dade County,Florida,2000,observed,5.0,0.54,5.0,0.54,5.0,0.54
12086003912,12086,Census Tract 39.12,Miami-Dade County,Florida,2000,observed,20.0,1.92,19.0,1.82,19.0,1.82
12086003917,12086,Census Tract 39.17,Miami-Dade County,Florida,2000,observed,25.0,1.74,23.0,1.6,20.0,1.39
12086003915,12086,Census Tract 39.15,Miami-Dade County,Florida,2000,observed,26.0,1.77,26.0,1.77,26.0,1.77
12086005600,12086,Census Tract 56,Miami-Dade County,Florida,2000,observed,3.0,0.58,3.0,0.58,3.0,0.58
12086006802,12086,Census Tract 68.02,Miami-Dade County,Florida,2000,observed,,,,,,
12086009803,12086,Census Tract 98.03,Miami-Dade County,Florida,2000,observed,5.0,3.65,5.0,3.65,5.0,3.65
12086012200,12086,Census Tract 122,Miami-Dade County,Florida,2000,observed,,,,,,
12086002403,12086,Census Tract 24.03,Miami-Dade County,Florida,2000,observed,17.0,1.18,17.0,1.18,17.0,1.18
12086015800,12086,Census Tract 158,Miami-Dade County,Florida,2000,observed,2.0,0.84,2.0,0.84,2.0,0.84
12086001301,12086,Census Tract 13.01,Miami-Dade County,Florida,2000,observed,39.0,2.68,39.0,2.68,39.0,2.68
