id,name,parent_location,year,type,filings,filing_rate,threatened,threatened_rate,judgements,judgement_rate
1200075,"Acacia Villas CDP, Florida",Florida,2000,observed,6,,4,,0,
1200075,"Acacia Villas CDP, Florida",Florida,2001,observed,8,,6,,2,
1200075,"Acacia Villas CDP, Florida",Florida,2002,observed,8,,4,,4,
1200075,"Acacia Villas CDP, Florida",Florida,2003,observed,3,,2,,1,
1200075,"Acacia Villas CDP, Florida",Florida,2004,observed,5,,3,,2,
1200075,"Acacia Villas CDP, Florida",Florida,2005,observed,6,,5,,0,
1200075,"Acacia Villas CDP, Florida",Florida,2006,observed,6,,6,,1,
1200075,"Acacia Villas CDP, Florida",Florida,2007,observed,1,,1,,1,
1200075,"Acacia Villas CDP, Florida",Florida,2008,observed,3,,3,,2,
1200075,"Acacia Villas CDP, Florida",Florida,2009,observed,4,,3,,0,
1200075,"Acacia Villas CDP, Florida",Florida,2010,observed,5,7.35,3,4.41,0,0
1200075,"Acacia Villas CDP, Florida",Florida,2011,observed,,,,,,
1200075,"Acacia Villas CDP, Florida",Florida,2012,observed,,,,,,
1200075,"Acacia Villas CDP, Florida",Florida,2013,observed,3,4.35,3,4.35,0,0
1200075,"Acacia Villas CDP, Florida",Florida,2014,observed,,,,,,
1200075,"Acacia Villas CDP, Florida",Florida,2015,observed,1,1.45,1,1.45,0,0
1200075,"Acacia Villas CDP, Florida",Florida,2016,observed,1,4.55,1,4.55,1,4.55
1200075,"Acacia Villas CDP, Florida",Florida,2017,observed,1,4.55,1,4.55,0,0
1200075,"Acacia Villas CDP, Florida",Florida,2018,observed,2,9.09,2,9.09,0,0
1200375,"Alachua city, Florida",Florida,2000,observed,5,0.91,5,0.91,5,0.91
1200375,"Alachua city, Florida",Florida,2001,observed,6,1.09,6,1.09,4,0.73
1200375,"Alachua city, Florida",Florida,2002,observed,51,9.29,42,7.65,11,2
1200375,"Alachua city, Florida",Florida,2003,observed,40,7.29,33,6.01,16,2.91
1200375,"Alachua city, Florida",Florida,2004,observed,28,5.1,23,4.19,18,3.28
1200375,"Alachua city, Florida",Florida,2005,observed,40,4.68,33,3.86,14,1.64
1200375,"Alachua city, Florida",Florida,2006,observed,46,5.38,36,4.21,8,0.94
1200375,"Alachua city, Florida",Florida,2007,observed,26,3.04,24,2.81,15,1.75
1200375,"Alachua city, Florida",Florida,2008,observed,23,2.69,20,2.34,13,1.52
1200375,"Alachua city, Florida",Florida,2009,observed,17,1.99,14,1.64,12,1.4
1200375,"Alachua city, Florida",Florida,2010,observed,15,1.63,15,1.63,8,0.87
1200375,"Alachua city, Florida",Florida,2011,observed,36,3.2,33,2.93,21,1.87
1200375,"Alachua city, Florida",Florida,2012,observed,36,3.2,34,3.02,17,1.51
1200375,"Alachua city, Florida",Florida,2013,observed,34,3.02,30,2.66,12,1.07
1200375,"Alachua city, Florida",Florida,2014,observed,39,3.46,35,3.11,14,1.24
1200375,"Alachua city, Florida",Florida,2015,observed,36,3.2,33,2.93,13,1.15
1200375,"Alachua city, Florida",Florida,2016,observed,54,5.57,51,5.26,25,2.58
1200375,"Alachua city, Florida",Florida,2017,observed,45,4.64,44,4.54,28,2.89
1200375,"Alachua city, Florida",Florida,2018,observed,27,2.79,27,2.79,15,1.55
1200410,"Alafaya CDP, Florida",Florida,2000,observed,161,,139,,72,
1200410,"Alafaya CDP, Florida",Florida,2001,observed,191,,173,,127,
1200410,"Alafaya CDP, Florida",Florida,2002,observed,228,,200,,138,
1200410,"Alafaya CDP, Florida",Florida,2003,observed,231,,210,,131,
1200410,"Alafaya CDP, Florida",Florida,2004,observed,308,,286,,203,
1200410,"Alafaya CDP, Florida",Florida,2005,observed,320,,297,,168,
1200410,"Alafaya CDP, Florida",Florida,2006,observed,335,,316,,170,
1200410,"Alafaya CDP, Florida",Florida,2007,observed,413,,387,,232,
1200410,"Alafaya CDP, Florida",Florida,2008,observed,367,,319,,175,
1200410,"Alafaya CDP, Florida",Florida,2009,observed,271,,264,,252,
1200410,"Alafaya CDP, Florida",Florida,2010,observed,300,2.99,291,2.9,283,2.82
1200410,"Alafaya CDP, Florida",Florida,2011,observed,288,2.72,277,2.61,267,2.52
1200410,"Alafaya CDP, Florida",Florida,2012,observed,276,2.6,264,2.49,248,2.34
1200410,"Alafaya CDP, Florida",Florida,2013,observed,223,2.1,215,2.03,193,1.82
1200410,"Alafaya CDP, Florida",Florida,2014,observed,279,2.63,264,2.49,221,2.09
1200410,"Alafaya CDP, Florida",Florida,2015,observed,327,3.09,297,2.8,207,1.95
1200410,"Alafaya CDP, Florida",Florida,2016,observed,364,3.29,335,3.03,191,1.73
1200410,"Alafaya CDP, Florida",Florida,2017,observed,279,2.52,257,2.33,141,1.28
1200410,"Alafaya CDP, Florida",Florida,2018,observed,240,2.17,226,2.05,134,1.21
1200625,"Alford town, Florida",Florida,2000,observed,,,,,,
1200625,"Alford town, Florida",Florida,2001,observed,,,,,,
1200625,"Alford town, Florida",Florida,2002,observed,,,,,,
1200625,"Alford town, Florida",Florida,2003,observed,,,,,,
1200625,"Alford town, Florida",Florida,2004,observed,,,,,,
1200625,"Alford town, Florida",Florida,2005,observed,,,,,,
1200625,"Alford town, Florida",Florida,2006,observed,,,,,,
1200625,"Alford town, Florida",Florida,2007,observed,,,,,,
1200625,"Alford town, Florida",Florida,2008,observed,,,,,,
1200625,"Alford town, Florida",Florida,2009,observed,,,,,,
1200625,"Alford town, Florida",Florida,2010,observed,,,,,,
1200625,"Alford town, Florida",Florida,2011,observed,,,,,,
1200625,"Alford town, Florida",Florida,2012,observed,,,,,,
1200625,"Alford town, Florida",Florida,2013,observed,,,,,,
1200625,"Alford town, Florida",Florida,2014,observed,,,,,,
1200625,"Alford town, Florida",Florida,2015,observed,,,,,,
