EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
565140,MIAMI-DADE CO.,LEMON CITY,02/28/2015,1400,Flash Flood, , ,0,0,3000,0,FL,EST-5, ,93336,C,86,MFL,0,0,NWS Employee,Heavy Rain, , ,1,WSW,1,SW,LEMON CITY,02/28/2015,1700,25.8111,-80.1954,25.8108,-80.1886,"Significant flooding occurred in the Omni, Edgewater and Midtown areas of the City of Miami, mainly along the Biscayne Boulevard and North Miami Avenue corridors. Multiple cars stalled and flowing water was up to a foot deep. Media reported minor inundation of businesses on the north edge of downtown. Multiple businesses in the Miami Midtown Shops closed as their ground floors were flooded.  Survey of debris lines indicated that most businesses along the Biscayne Boulevard corridor between 195 and 395 had water above the base of their front doors.||Damage total is estimated.","A quasi-stationary front was located across South Florida with a surface trough along the southeast coast of the peninsula causing a strong thunderstorms to form. Persistent rains also led to flooding in some areas.",1
595906,MIAMI-DADE CO.,IVES ESTATES,08/26/2015,1455,Flood, , ,0,0,0,0,FL,EST-5, ,99217,C,86,MFL,0,0,Public,Heavy Rain, , ,2,NW,2,NW,IVES ESTATES,08/26/2015,1455,25.9196,-80.2459,25.9161,-80.2446,"Urban flooding reported at NW 159th Street and NW 27th Street in Miami Gardens.","Moist southerly flow in place across South Florida ahead of a cold front moving into the state lead to scattered to numerous showers and storms. Storms that developed in the early afternoon produced small hail, gusty winds, and minor urban flooding along the east coast metro.",2
596775,MIAMI-DADE CO.,LEMON CITY,08/30/2015,243,Flood, , ,0,0,0,0,FL,EST-5, ,99415,C,86,MFL,0,0,NWS Employee,Heavy Rain / Tropical System, , ,1,SSW,2,SSW,LEMON CITY,08/30/2015,243,25.8039,-80.1914,25.7991,-80.191,"Off-duty NWS employee reported several impassable streets due to flooding in the Wynwood area of Miami from remnant low pressure of Tropical Storm Erika.","Deep tropical moisture associated with the remnants of Tropical Storm Erika moved across South Florida, leading to widespread showers and a few storms. Minor flooding was reported in associated with this activity.",3
598706,MIAMI-DADE (ZONE), ,09/24/2015,700,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99858,Z,173,MFL,0,0,Social Media, , , , , , , , ,09/24/2015,830, , , , ,"Photos received via social media show flooding along 5th Avenue, Alton Road, Lenox Aveune, Washington Avenue, and Espanola Way in Miami Beach with the morning high tide.","A combination of higher than normal tidal departures coupled with the perigean spring tide resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",4
598708,MIAMI-DADE (ZONE), ,09/25/2015,500,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99858,Z,173,MFL,0,0,Law Enforcement, , , , , , , , ,09/25/2015,830, , , , ,"Miami Beach PD reported the right lane of Collins Avenue in Miami Beach was flooded and impassable between 15th and 24th streets in Miami Beach. Additional reports via social media also reported flooding on Jefferson Avenue north of Lincoln Avenue with the morning high tide.","A combination of higher than normal tidal departures coupled with the perigean spring tide resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",5
598712,MIAMI-DADE (ZONE), ,09/26/2015,1900,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99858,Z,173,MFL,0,0,Emergency Manager, , , , , , , , ,09/26/2015,2220, , , , ,"Tidal flooding with the evening high tide resulted in the closure of Indian Creek Drive (Southbound A1A) between 26th Street and 41st Street in Miami Beach. Road was opened around 1020pm after water receded. Additional emergency management reports were received of tidal flooding along 4300 North Bay Road in Miami Beach.","A combination of higher than normal tidal departures coupled with the perigean spring tide resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",6
601208,MIAMI-DADE (ZONE), ,09/27/2015,800,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99858,Z,173,MFL,0,0,NWS Employee, , , , , , , , ,09/27/2015,900, , , , ,"Water inundated portions of 500 block of NE 30 Street in Miami.","A combination of higher than normal tidal departures coupled with the perigean spring tide resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",7
598736,MIAMI-DADE (ZONE), ,09/28/2015,800,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99858,Z,173,MFL,0,0,Emergency Manager, , , , , , , , ,09/28/2015,930, , , , ,"Tidal flooding resulted in closure of Indian Creek Drive (A1A) at 21st Street around the time of morning high tide. Up to ankle deep water was reported in spots.","A combination of higher than normal tidal departures coupled with the perigean spring tide resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",8
598738,MIAMI-DADE (ZONE), ,09/28/2015,845,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99858,Z,173,MFL,0,0,Broadcast Media, , , , , , , , ,09/28/2015,845, , , , ,"Tidal flooding lead to inundation of parking lots along the North Bay Causeway.","A combination of higher than normal tidal departures coupled with the perigean spring tide resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",9
598769,MIAMI-DADE (ZONE), ,09/29/2015,845,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,99861,Z,173,MFL,0,0,Broadcast Media, , , , , , , , ,09/29/2015,1030, , , , ,"Tidal flooding led to the closure of Indian Creek Drive (A1A) between 26th Street and 41st Streets. Water receded after high tide passed around 1130am.","The continuing combination of higher than normal tidal departures coupled with the perigean spring tide on September 29th resulted in periodic minor flooding of low lying and vulnerable areas at high tides for several days during the end of September. Several roads, including major arteries, along the Palm Beach, Broward, and Miami-Dade coast experienced saw flooding high enough to result in road closures during times of high tide. Additional minor road flooding occurred along roads in Naples.",10
